Year,Month,Day,Category,Count
2012.0,1,1,Agg Assault Domest,5
2012.0,1,1,Aggravated Assault (,10
2012.0,1,1,Armed Robbery,4
2012.0,1,1,Arson,3
2012.0,1,1,Auto Theft,11
2012.0,1,1,Burglary Non Resid,3
2012.0,1,1,Burglary Residence,17
2012.0,1,1,Credit/Debit/ATM Car,2
2012.0,1,1,Dead Body,1
2012.0,1,1,Disorderly Conduct,2
2012.0,1,1,Driving Under Influe,10
2012.0,1,1,Family Offense,1
2012.0,1,1,Misc Violation,6
2012.0,1,1,Non Agg Assault Dome,16
2012.0,1,1,Non Aggravated Assau,10
2012.0,1,1,Possession of Drug E,1
2012.0,1,1,Possession/Sale/Dist,5
2012.0,1,1,Property Damage,20
2012.0,1,1,Rape,1
2012.0,1,1,Resisting an Officer,3
2012.0,1,1,Stealing All Other,3
2012.0,1,1,Stealing Auto Parts/,5
2012.0,1,1,Stealing From Auto,11
2012.0,1,1,Stealing from Buildi,8
2012.0,1,1,Stealing Shoplifting,6
2012.0,1,1,Strong Arm Robbery,4
2012.0,1,1,Trespassing,3
2012.0,1,2,Aggravated Assault (,5
2012.0,1,2,Armed Robbery,3
2012.0,1,2,Arson,1
2012.0,1,2,Attempt Suicide by C,1
2012.0,1,2,Auto Theft,14
2012.0,1,2,Auto Theft Outside S,1
2012.0,1,2,Burglary Non Resid,5
2012.0,1,2,Burglary Residence,20
2012.0,1,2,Disorderly Conduct,1
2012.0,1,2,Driving Under Influe,1
2012.0,1,2,Embezzlement,1
2012.0,1,2,Family Offense,1
2012.0,1,2,Forcible Sodomy,2
2012.0,1,2,Fraud/Confidence Gam,3
2012.0,1,2,Impersonation,1
2012.0,1,2,Intimidation,1
2012.0,1,2,Misc Violation,10
2012.0,1,2,Non Agg Assault Dome,9
2012.0,1,2,Non Aggravated Assau,3
2012.0,1,2,Possession/Sale/Dist,2
2012.0,1,2,Property Damage,15
2012.0,1,2,Statutory Rape,1
2012.0,1,2,Stealing All Other,6
2012.0,1,2,Stealing Auto Parts/,7
2012.0,1,2,stealing from auto,1
2012.0,1,2,Stealing From Auto,5
2012.0,1,2,Stealing from Buildi,10
