year,month,day,description,count
2017,1,1,Agg Assault - Domest,4
2017,1,1,Aggravated Assault (,8
2017,1,1,Armed Robbery,3
2017,1,1,Arson,3
2017,1,1,Attempt Suicide by C,1
2017,1,1,Attempt Suicide by O,1
2017,1,1,Attempt Suicide by S,1
2017,1,1,Auto Theft,11
2017,1,1,Auto Theft Outside S,2
2017,1,1,Burglary - Non Resid,1
2017,1,1,Burglary - Residence,4
2017,1,1,Credit/Debit/ATM Car,1
2017,1,1,Disorderly Conduct,6
2017,1,1,Fraud/Confidence Gam,1
2017,1,1,Hit and Run of a Per,1
2017,1,1,Intimidation,2
2017,1,1,Misc Violation,3
2017,1,1,Non Agg Assault Dome,22
2017,1,1,Non Aggravated Assau,12
2017,1,1,Possession of Drug E,2
2017,1,1,Possession/Sale/Dist,3
2017,1,1,Property Damage,28
2017,1,1,Resisting an Officer,3
2017,1,1,Sex Off Fondle - mol,1
2017,1,1,Statutory Rape,1
2017,1,1,Stealing All Other,5
2017,1,1,Stealing Auto Parts/,3
2017,1,1,Stealing From Auto,7
2017,1,1,Stealing Shoplifting,5
2017,1,1,Stealing from Buildi,4
2017,1,1,Stolen Property OFFE,2
2017,1,1,Strong Arm Robbery,2
2017,1,1,Trespassing,5
2017,1,1,Violation Full Order,2
2017,1,1,Weapons Law Violatio,1
2017,1,2,Agg Assault - Domest,1
2017,1,2,Aggravated Assault (,6
2017,1,2,Armed Robbery,8
2017,1,2,Arson,3
2017,1,2,Auto Theft,12
2017,1,2,Burglary - Non Resid,2
2017,1,2,Burglary - Residence,10
2017,1,2,Disorderly Conduct,2
2017,1,2,Driving Under Influe,3
2017,1,2,Fraud/Confidence Gam,2
2017,1,2,Identity Theft,2
2017,1,2,Intimidation,2
2017,1,2,Misc Violation,2
2017,1,2,Non Agg Assault Dome,12
2017,1,2,Non Aggravated Assau,6
2017,1,2,Possession of Drug E,4
2017,1,2,Possession/Sale/Dist,12
2017,1,2,Property Damage,17
2017,1,2,Sex Off Fondle - mol,1
2017,1,2,Statutory Rape,1
2017,1,2,Stealing All Other,5
2017,1,2,Stealing Auto Parts/,5
2017,1,2,Stealing From Auto,9
2017,1,2,Stealing Shoplifting,5
2017,1,2,Stealing from Buildi,6
2017,1,2,Strong Arm Robbery,2
2017,1,2,Trespassing,4
2017,1,2,Weapons Law Violatio,1
2017,1,3,Agg Assault - Domest,5
2017,1,3,Agg Assault - Drive-,1
2017,1,3,Aggravated Assault (,4
2017,1,3,Armed Robbery,5
2017,1,3,Arson,1
2017,1,3,Attempt Suicide by O,1
2017,1,3,Auto Theft,17
2017,1,3,Auto Theft Outside S,3
2017,1,3,Burglary - Non Resid,4
2017,1,3,Burglary - Residence,13
2017,1,3,Disorderly Conduct,2
2017,1,3,Driving Under Influe,1
2017,1,3,Failure to Return,2
2017,1,3,Forcible Sodomy,1
2017,1,3,Forged Checks,2
2017,1,3,Forgery,1
2017,1,3,Fraud/Confidence Gam,1
2017,1,3,Identity Theft,2
2017,1,3,Intimidation,2
2017,1,3,Kidnapping/Abduction,1
2017,1,3,Misc Violation,8
2017,1,3,Non Agg Assault Dome,8
2017,1,3,Non Aggravated Assau,10
2017,1,3,Possession of Drug E,3
2017,1,3,Possession/Sale/Dist,8
2017,1,3,Property Damage,17
2017,1,3,Sex Off Fondle - mol,2
2017,1,3,Stealing All Other,14
2017,1,3,Stealing Auto Parts/,12
2017,1,3,Stealing From Auto,11
2017,1,3,Stealing Shoplifting,6
2017,1,3,Stealing from Buildi,3
2017,1,3,Stolen Property OFFE,3
2017,1,3,Trespassing,2
2017,1,3,Violation Full Order,1
2017,1,3,Weapons Law Violatio,1
2017,1,4,Agg Assault - Domest,2
2017,1,4,Aggravated Assault (,7
