year,month,day,description,count
2016,1,1,Agg Assault - Domest,6
2016,1,1,Aggravated Assault (,16
2016,1,1,Armed Robbery,5
2016,1,1,Auto Theft,12
2016,1,1,Auto Theft Outside S,1
2016,1,1,Burglary - Non Resid,2
2016,1,1,Burglary - Residence,3
2016,1,1,Counterfeiting,1
2016,1,1,Dead Body,1
2016,1,1,Disorderly Conduct,4
2016,1,1,Driving Under Influe,3
2016,1,1,Fraud/Confidence Gam,2
2016,1,1,HOMICIDE/Non Neglige,2
2016,1,1,Misc Violation,3
2016,1,1,Non Agg Assault Dome,12
2016,1,1,Non Aggravated Assau,3
2016,1,1,Possession/Sale/Dist,3
2016,1,1,Property Damage,18
2016,1,1,Resisting an Officer,1
2016,1,1,Sex Off Indecent Con,1
2016,1,1,Stealing All Other,4
2016,1,1,Stealing Auto Parts/,2
2016,1,1,Stealing From Auto,9
2016,1,1,Stealing Shoplifting,2
2016,1,1,Stealing from Buildi,6
2016,1,1,Strong Arm Robbery,2
2016,1,1,Trespassing,4
2016,1,1,Violation Ex Parte O,1
2016,1,1,Weapons Law Violatio,4
2016,1,2,Agg Assault - Domest,4
2016,1,2,Aggravated Assault (,4
2016,1,2,Armed Robbery,3
2016,1,2,Attempt Suicide by O,1
2016,1,2,Auto Theft,10
2016,1,2,Auto Theft Outside S,3
2016,1,2,Burglary - Non Resid,4
2016,1,2,Burglary - Residence,8
2016,1,2,Credit/Debit/ATM Car,3
2016,1,2,Disorderly Conduct,3
2016,1,2,Driving Under Influe,4
2016,1,2,Family Offense,1
2016,1,2,Forcible Sodomy,1
2016,1,2,Forgery,1
2016,1,2,Fraud/Confidence Gam,1
2016,1,2,Misc Violation,7
2016,1,2,Non Agg Assault Dome,18
2016,1,2,Non Aggravated Assau,9
2016,1,2,Possession of Drug E,4
2016,1,2,Possession/Sale/Dist,9
2016,1,2,Property Damage,12
2016,1,2,Resisting an Officer,1
2016,1,2,Stealing All Other,6
2016,1,2,Stealing Auto Parts/,7
2016,1,2,Stealing From Auto,14
2016,1,2,Stealing Shoplifting,8
2016,1,2,Stealing from Buildi,10
2016,1,2,Stolen Property OFFE,2
2016,1,2,Strong Arm Robbery,3
2016,1,2,Trespassing,3
2016,1,2,Violation Ex Parte O,1
2016,1,2,Violation Full Order,1
2016,1,2,Weapons Law Violatio,4
2016,1,3,Agg Assault - Domest,3
2016,1,3,Agg Assault - Drive-,1
2016,1,3,Aggravated Assault (,7
2016,1,3,Armed Robbery,2
2016,1,3,Auto Theft,11
2016,1,3,Auto Theft Outside S,1
2016,1,3,Burglary - Non Resid,1
2016,1,3,Burglary - Residence,8
2016,1,3,Credit/Debit/ATM Car,1
2016,1,3,Disorderly Conduct,1
2016,1,3,Driving Under Influe,1
2016,1,3,Forcible Sodomy,2
2016,1,3,Fraud/Confidence Gam,2
2016,1,3,HOMICIDE/Non Neglige,1
2016,1,3,Misc Violation,1
2016,1,3,Non Agg Assault Dome,16
2016,1,3,Non Aggravated Assau,6
2016,1,3,Possession/Sale/Dist,3
2016,1,3,Property Damage,18
2016,1,3,Stealing All Other,3
2016,1,3,Stealing Auto Parts/,7
2016,1,3,Stealing From Auto,14
2016,1,3,Stealing Shoplifting,7
2016,1,3,Stealing from Buildi,4
2016,1,3,Stolen Property OFFE,1
2016,1,3,Strong Arm Robbery,6
2016,1,3,Trespassing,3
2016,1,3,Weapons Law Violatio,1
2016,1,4,Aggravated Assault (,4
2016,1,4,Armed Robbery,5
2016,1,4,Auto Theft,9
2016,1,4,Auto Theft Outside S,3
2016,1,4,Burglary - Non Resid,3
2016,1,4,Burglary - Residence,17
2016,1,4,Credit/Debit/ATM Car,3
2016,1,4,Driving Under Influe,2
2016,1,4,Embezzlement,2
2016,1,4,Forcible Sodomy,1
2016,1,4,Forged Checks,1
2016,1,4,Fraud/Confidence Gam,3
2016,1,4,HOMICIDE/Non Neglige,1
2016,1,4,Identity Theft,4
2016,1,4,Intimidation,1
2016,1,4,Kidnapping/Abduction,1
2016,1,4,Liquor Law Violaton,1
2016,1,4,Misc Violation,5
2016,1,4,Missing/Runaway Juve,1
2016,1,4,Non Agg Assault Dome,12
2016,1,4,Non Aggravated Assau,5
2016,1,4,Possession of Drug E,3
2016,1,4,Possession/Sale/Dist,11
2016,1,4,Property Damage,12
2016,1,4,Rape,1
2016,1,4,Resisting an Officer,1
2016,1,4,Sex Off Misconduct,1
2016,1,4,Sex Offense -others,1
2016,1,4,Stealing All Other,5
2016,1,4,Stealing Auto Parts/,11
2016,1,4,Stealing From Auto,13
2016,1,4,Stealing Shoplifting,5
2016,1,4,Stealing from Buildi,6
2016,1,4,Stolen Property OFFE,1
2016,1,4,Strong Arm Robbery,1
2016,1,4,Trespassing,5
2016,1,4,Violation Ex Parte O,1
2016,1,4,Violation Full Order,3
2016,1,4,Weapons Law Violatio,3
2016,1,5,Agg Assault - Domest,2
2016,1,5,Aggravated Assault (,9
2016,1,5,Armed Robbery,3
2016,1,5,Auto Theft,15
2016,1,5,Auto Theft Outside S,3
2016,1,5,Bomb Threat/Intimida,1
2016,1,5,Burglary - Non Resid,4
2016,1,5,Burglary - Residence,18
2016,1,5,Credit/Debit/ATM Car,1
2016,1,5,Disorderly Conduct,3
2016,1,5,Driving Under Influe,1
2016,1,5,Embezzlement,2
2016,1,5,Failure to Return,1
2016,1,5,Forcible Sodomy,2
2016,1,5,Forgery,2
2016,1,5,Fraud/Confidence Gam,4
2016,1,5,Identity Theft,3
2016,1,5,Intimidation,1
2016,1,5,Misc Violation,8
2016,1,5,Non Agg Assault Dome,15
2016,1,5,Non Aggravated Assau,3
2016,1,5,Possession of Drug E,2
2016,1,5,Possession/Sale/Dist,12
2016,1,5,Property Damage,6
2016,1,5,Rape,1
2016,1,5,Resisting an Officer,3
2016,1,5,Sex Off Fondle - mol,2
2016,1,5,Stealing All Other,5
2016,1,5,Stealing Auto Parts/,11
2016,1,5,Stealing From Auto,8
2016,1,5,Stealing Shoplifting,6
2016,1,5,Stealing from Buildi,9
2016,1,5,Stolen Property OFFE,1
2016,1,5,Strong Arm Robbery,1
2016,1,5,Weapons Law Violatio,4
2016,1,5,Wire Fraud,1
2016,1,6,Agg Assault - Domest,2
2016,1,6,Aggravated Assault (,5
2016,1,6,Armed Robbery,7
2016,1,6,Auto Theft,14
2016,1,6,Auto Theft Outside S,1
2016,1,6,Burglary - Non Resid,1
2016,1,6,Burglary - Residence,14
2016,1,6,Credit/Debit/ATM Car,1
2016,1,6,Embezzlement,2
2016,1,6,Forgery,1
2016,1,6,Fraud/Confidence Gam,2
2016,1,6,HOMICIDE/Non Neglige,1
2016,1,6,Hacking/Computer Inv,1
2016,1,6,Identity Theft,1
2016,1,6,Intimidation,3
2016,1,6,Misc Violation,16
2016,1,6,Non Agg Assault Dome,5
2016,1,6,Non Aggravated Assau,3
2016,1,6,Possession of Drug E,1
2016,1,6,Possession/Sale/Dist,6
2016,1,6,Property Damage,8
2016,1,6,Rape,1
2016,1,6,Resisting an Officer,2
2016,1,6,Sex Offense -others,1
2016,1,6,Stealing All Other,6
2016,1,6,Stealing Auto Parts/,9
2016,1,6,Stealing From Auto,15
2016,1,6,Stealing Shoplifting,7
2016,1,6,Stealing from Buildi,7
2016,1,6,Stolen Property OFFE,1
2016,1,6,Suicide By Sleeping,1
2016,1,6,Trespassing,4
2016,1,6,Violation Full Order,1
2016,1,6,Weapons Law Violatio,3
2016,1,7,Agg Assault - Domest,3
2016,1,7,Agg Assault - Drive-,1
2016,1,7,Aggravated Assault (,8
2016,1,7,Armed Robbery,5
2016,1,7,Attempt Suicide by C,1
2016,1,7,Attempt Suicide by H,1
2016,1,7,Auto Theft,17
2016,1,7,Auto Theft Outside S,4
2016,1,7,Burglary - Residence,6
2016,1,7,Credit/Debit/ATM Car,4
2016,1,7,Disorderly Conduct,1
2016,1,7,Embezzlement,1
2016,1,7,Family Offense,1
2016,1,7,Forcible Fondling,1
2016,1,7,Forgery,1
2016,1,7,Fraud/Confidence Gam,2
2016,1,7,Identity Theft,2
2016,1,7,Intimidation,2
2016,1,7,Misc Violation,9
2016,1,7,Non Agg Assault Dome,5
2016,1,7,Non Aggravated Assau,6
2016,1,7,Possession of Drug E,2
2016,1,7,Possession/Sale/Dist,6
2016,1,7,Property Damage,6
2016,1,7,Rape,1
2016,1,7,Resisting an Officer,5
2016,1,7,Sex Off Fondle - mol,3
2016,1,7,Sex Off Indecent Con,1
2016,1,7,Stealing All Other,5
2016,1,7,Stealing Auto Parts/,5
2016,1,7,Stealing From Auto,11
2016,1,7,Stealing Shoplifting,11
2016,1,7,Stealing from Buildi,9
2016,1,7,Stolen Property OFFE,1
